Unique_ID,Extract_Date,Age_Of_Account,Num_Periods_Since_1st_Statement,Type_Of_Application,Days_Since_Most_Recent_Order,Num_Orders_L4_6P,Ave_Item_Value_L13P,Num_Items_Ordered_L13P,Ave_Num_Items_Per_Order_L4_6P,Value_Last_Payment,Num_Payments_CTD,Days_Since_Most_Recent_Payment,Num_Payments_To_Date,Num_Payments_L4_6P,Value_Payments_L3P,Value_Payments_L4_6P,Ave_Payment_Value_L4_6P,Ave_Payment_Value_L13P,Ave_Pmnt_Over_Bal_L13P_Perc,Ave_Current_Balance_L4_6P,Current_Bal_Over_Ave_Bal_L4_6P,Curr_Bal_Over_Highest_Bal_L4_6P,Current_Arrears_Amount,Num_1_Missed_Payment_L4_6P,Num_2_Or_More_Missed_Pmnts_L4_6P,Value_HR_Orders_Perc_Orders_L13P,Num_Account_Reviews_L13P,Ave_Order_Value_L13P,Num_Active_Accs_Not_In_Arrears,Bureau_Index_Retail,WS_L6M_Accs_Open_More_Than_12M,Num_Inactive_Accs_Sole_Joint,Good_Bad_Flag,Random_Number
1,20090917,122,128,U,385,0,0,0,0,30,0,31,66,1,30,30,30,24,12,104,137,113,20,1,1,0,13,0,9,70,2,9,G,0.739019954
2,20100318,124,134,U,187,0,18,10,0,40,1,19,101,0,80,0,0,33,4,552,95,91,0,0,3,0,12,36,2,40,3,7,G,0.272479424
3,20090917,122,128,U,257,0,33,7,0,10,1,19,45,0,10,0,0,10,2,85,150,118,0,1,1,0,9,77,0,40,N,5,B,0.709532567
4,20091203,134,130,U,999999,0,0,0,0,77,1,14,72,1,219,60,60,64,19,721,93,90,0,0,3,0,13,0,1,40,0,6,G,0.319163602
5,20100318,243,134,U,124,2,27,24,9,75,1,19,92,2,181,185,93,70,5,1498,110,106,217,2,1,13,13,159,3,40,2,5,G,0.367853009
6,20091203,194,130,U,231,0,14,1,0,31,0,121,19,1,0,31,31,31,3806,63,207,165,40,1,1,0,9,14,1,25,5,6,B,0.104490988
7,20100318,128,134,U,112,3,90,18,6,24,0,474,41,0,0,0,0,0,0,401,227,114,176,1,0,29,5,538,-2,20,N,0,B,0.036800337
8,20091203,194,130,U,535,0,0,0,0,40,1,12,69,1,120,30,30,31,20,357,73,70,0,0,3,0,13,0,6,70,2,7,G,0.533332397
9,20091203,111,130,U,715,0,0,0,0,50,0,66,86,3,50,150,50,51,21,344,81,73,100,0,3,0,13,0,1,55,U,2,I,0.371299537
10,20100318,143,134,U,404,0,0,0,0,125,1,8,82,2,335,234,117,104,8,829,65,60,56,0,3,0,13,0,8,30,4,9,G,0.040194434
11,20100318,114,134,U,247,0,35,9,0,20,1,14,82,3,80,80,27,31,5,632,96,93,20,0,3,25,12,105,-2,35,N,0,I,0.793449297
12,20100318,114,134,U,152,1,14,10,4,20,2,8,32,1,70,10,10,28,8,173,98,85,0,1,1,0,11,46,4,0,2,9,G,0.959098475
13,20100318,124,134,U,114,5,38,42,8,83,0,1969,1,0,0,0,0,0,0,330,320,116,185,1,0,22,5,323,-2,15,6,1,B,0.648040688
14,20090917,108,128,U,124,7,48,90,4,0,0,58,36,2,0,249,124,93,3,2452,172,104,801,1,0,38,13,173,-2,20,N,0,B,0.339112926
15,20100318,165,134,U,929,0,0,0,0,20,0,52,35,2,20,41,21,22,6,223,128,123,32,0,3,0,13,0,7,40,2,9,G,0.337364736
16,20090917,108,128,U,348,0,23,5,0,66,0,91,92,2,0,131,66,68,4,1178,120,119,303,3,0,40,13,116,3,80,2,2,I,0.378038147
17,20090917,136,128,U,264,0,31,10,0,27,0,131,56,1,0,27,27,18,3,232,130,125,61,2,0,18,11,102,2,55,0,9,I,0.56103101
18,20090917,200,128,U,757,0,0,0,0,10,2,0,114,3,60,158,53,54,5,1119,106,104,192,2,0,0,13,0,-2,25,N,0,B,0.952515926
19,20091203,253,130,U,213,0,78,7,0,44,1,15,77,0,149,0,0,39,20,451,82,77,0,1,2,92,13,182,5,5,2,9,G,0.482854282
20,20091203,191,130,U,700,0,0,0,0,40,1,17,103,2,170,100,50,40,17,347,109,71,0,0,2,0,12,0,6,75,1,9,G,0.71220961
21,20100318,129,134,U,576,0,0,0,0,30,0,31,82,2,90,60,30,39,5,659,95,93,0,0,3,0,13,0,2,30,1,3,I,0.931551713
22,20091203,133,130,U,681,0,0,0,0,40,1,10,39,2,119,79,39,31,24,365,67,62,0,0,3,0,12,0,11,30,2,8,G,0.175880707
23,20091203,126,130,U,408,0,0,0,0,30,0,135,59,1,0,30,30,25,33,178,135,129,48,2,0,0,13,0,6,40,2,9,G,0.85653819
24,20100318,127,134,U,108,3,140,6,1,50,0,114,103,2,0,100,50,27,4,618,149,115,184,1,0,31,13,168,1,20,6,2,B,0.724995853
25,20090917,107,128,U,184,0,20,17,0,40,0,119,34,2,0,80,40,40,5,475,120,117,121,1,0,61,13,116,5,10,6,9,B,0.044443542
26,20091203,123,130,U,117,1,50,4,3,20,0,126,79,2,0,34,17,15,15,245,126,121,63,2,0,0,13,100,-2,10,4,7,B,0.712230473
27,20090917,130,128,U,854,0,0,0,0,62,1,0,37,0,124,0,0,49,5,554,95,89,0,1,2,0,13,0,5,90,1,1,G,0.809567451
28,20090917,117,128,U,712,0,0,0,0,40,1,16,32,0,72,0,0,44,6,314,94,86,0,1,2,0,13,0,11,60,2,9,G,0.060608024
29,20100318,153,134,U,866,0,0,0,0,20,0,33,51,1,20,235,235,118,28,61,187,136,30,1,1,0,13,0,10,40,5,9,G,0.184923911
30,20100318,153,134,U,268,0,10,1,0,11,0,107,34,3,0,66,22,17,6,199,148,133,57,2,0,0,13,10,3,20,2,6,I,0.562504657
31,20090917,130,128,U,1024,0,0,0,0,75,1,2,75,3,225,225,75,78,7,992,81,77,0,0,3,0,13,0,10,5,1,8,I,0.604739666
32,20100318,127,134,U,379,0,0,0,0,55,1,8,75,1,110,100,100,66,4,934,94,89,0,0,3,0,13,0,-2,5,2,1,I,0.245331414
33,20100318,114,134,U,495,0,0,0,0,74,1,16,102,2,148,95,48,58,7,686,92,90,0,0,3,0,13,0,5,35,3,9,G,0.905462066
